
smiles,prediction,mean_similarity,in_AD,MolWt,MolLogP,HBD,HBA,RotatableBonds
N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,7.3733906745910645,0.4079956949837834,False,414.4690000000003,2.9771800000000015,2,7,6
O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,7.369436264038086,0.22426510931576207,False,379.435,3.6784000000000017,1,4,6
CC1COC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,7.362977981567383,0.27093698956487566,False,405.35700000000014,0.9626999999999999,2,6,3
CCNC1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,7.355725288391113,0.17345906146784962,False,383.5170000000001,0.08690000000000075,2,7,7
CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,7.346419811248779,0.1975316533998313,False,654.6059999999999,3.192800000000002,3,6,5
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc(F)c(C)c3c1c2C(N)CC3,7.3380866050720215,0.21407516580692704,False,435.45500000000027,2.4731200000000007,2,7,1
Nc1nc(F)nc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,7.335649013519287,0.17424074970740427,False,365.214,-1.7239000000000007,5,10,4
CC(NC(=O)c1ncnc(N)c1Cl)c1ncc(C(=O)Nc2cc(C(F)(F)F)c(Cl)cn2)s1,7.335226058959961,0.24800963081861957,False,506.2970000000001,3.9792000000000014,3,8,5
CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,7.333624362945557,0.21442848187299676,False,488.6140000000003,2.0704199999999995,1,8,8
COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,7.3335137367248535,0.2913995856229489,False,570.6490000000003,5.906800000000007,1,6,3
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,7.325554370880127,0.22610379601755928,False,868.4569999999999,8.659900000000006,3,11,13
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,7.324020862579346,0.19122374210550724,False,421.4530000000002,1.8467999999999996,2,8,3
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,7.324020862579346,0.19122374210550724,False,421.4530000000002,1.8467999999999996,2,8,3
COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)N(COP(=O)([O-])[O-])C(=O)C(C)(C)O4)n2)cc(OC)c1OC,7.318210601806641,0.31457787471233295,False,578.4500000000003,1.830499999999999,2,14,10
COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)N(COP(=O)([O-])[O-])C(=O)C(C)(C)O4)n2)cc(OC)c1OC,7.318210601806641,0.31457787471233295,False,578.4500000000002,1.8304999999999985,2,14,10
O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCn2nc(C(F)(F)F)nc2C1,7.314678192138672,0.2537472272521185,False,472.40200000000027,2.9193000000000016,1,6,3
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,7.31320858001709,0.2370398498083716,False,324.4240000000001,3.1732000000000022,1,4,4
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,7.31320858001709,0.2370398498083716,False,324.4240000000001,3.1732000000000014,1,4,4
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,7.31320858001709,0.2370398498083716,False,324.4240000000001,3.1732000000000022,1,4,4
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,7.31320858001709,0.2370398498083716,False,324.4240000000001,3.1732000000000014,1,4,4
CN(C)N(C)C(=O)C1(Cc2ccccc2)CCCN(C(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(C)(C)N)C1,7.310147285461426,0.2274007857498738,False,546.7160000000002,2.719000000000003,3,5,9
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,7.3086090087890625,0.40981180408958523,False,557.0540000000001,5.932480000000005,2,8,11
CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,7.306149482727051,0.30892056982282545,False,434.54800000000034,2.7964,2,8,5
CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,7.306149482727051,0.30892056982282545,False,434.54800000000034,2.7964,2,8,5
